"Data.Precipitation","Date.Full","Date.Month","Date.Week of","Date.Year","Station.City","Station.Code","Station.Location","Station.State","Data.Temperature.Avg Temp","Data.Temperature.Max Temp","Data.Temperature.Min Temp","Data.Wind.Direction","Data.Wind.Speed"
"0.0","2016-01-03","1","3","2016","Birmingham","BHM","Birmingham, AL","Alabama","39","46","32","33","4.33"
"0.0","2016-01-03","1","3","2016","Huntsville","HSV","Huntsville, AL","Alabama","39","47","31","32","3.86"
"0.16","2016-01-03","1","3","2016","Mobile","MOB","Mobile, AL","Alabama","46","51","41","35","9.73"
"0.0","2016-01-03","1","3","2016","Montgomery","MGM","Montgomery, AL","Alabama","45","52","38","32","6.86"
"0.01","2016-01-03","1","3","2016","Anchorage","ANC","Anchorage, AK","Alaska","34","38","29","19","7.8"
"0.09","2016-01-03","1","3","2016","Annette","ANN","Annette, AK","Alaska","38","44","31","9","8.7"
"0.05","2016-01-03","1","3","2016","Bethel","BET","Bethel, AK","Alaska","30","36","24","9","16.46"
"0.15","2016-01-03","1","3","2016","Bettles","BTT","Bettles, AK","Alaska","22","32","9","2","3.1"
"0.6","2016-01-03","1","3","2016","Cold Bay","CDB","Cold Bay, AK","Alaska","34","36","31","20","9.1"
"2.15","2016-01-03","1","3","2016","Cordova","CDV","Cordova, AK","Alaska","38","43","33","9","9.76"
